iter	Passed	Remaining
399	68965	17241
400	69133	17067
401	69303	16894
402	69461	16719
403	69628	16545
404	69830	16379
405	70025	16212
406	70214	16044
407	70404	15875
408	70574	15702
409	70738	15527
410	70909	15355
411	71093	15185
412	71266	15012
413	71439	14840
414	71668	14679
415	71876	14513
416	72046	14340
417	72221	14167
418	72403	13996
419	72576	13824
420	72749	13651
421	72913	13476
422	73087	13304
423	73254	13130
424	73421	12956
425	73591	12783
426	73753	12608
427	73920	12435
428	74089	12261
429	74258	12088
430	74424	11914
431	74598	11742
432	74757	11567
433	74934	11395
434	75104	11222
435	75279	11050
436	75451	10877
437	75629	10705
438	75811	10534
439	75979	10360
440	76152	10188
441	76321	10015
442	76478	9840
443	76646	9667
444	76830	9495
445	77012	9324
446	77212	9154
447	77395	8983
448	77564	8810
449	77737	8637
450	77906	8464
451	78082	8291
452	78270	8120
453	78443	7948
454	78622	7775
455	78780	7601
456	78949	7428
457	79116	7255
458	79279	7081
459	79445	6908
460	79605	6734
461	79774	6561
462	79946	6388
463	80108	6215
464	80265	6041
465	80436	5868
466	80612	5696
467	80791	5524
468	80975	5352
469	81154	5180
470	81338	5008
471	81504	4835
472	81677	4662
473	81842	4489
474	82017	4316
475	82197	4144
476	82360	3971
477	82520	3798
478	82699	3625
479	82879	3453
480	83045	3280
481	83216	3107
482	83390	2935
483	83562	2762
484	83731	2589
485	83902	2416
486	84076	2244
487	84248	2071
488	84438	1899
489	84606	1726
490	84778	1553
491	84991	1381
492	85168	1209
493	85334	1036
494	85524	863
495	85709	691
496	85870	518
497	86052	345
498	86264	172
499	86580	0
